idSchool,SchoolName,Grade,ProgramCode,Rank,Tiebreakers,Requests,Assigned Here,Assigned Better,Assigned Worse
420,Alvarado ES,K,SE,22,-,1,0,1,0
420,Alvarado ES,K,SE,24,-,1,0,1,0
420,Alvarado ES,K,SE,1,CL;,6,6,0,0
420,Alvarado ES,K,SE,2,CL;,2,0,2,0
420,Alvarado ES,K,SE,3,CL;,1,0,1,0
420,Alvarado ES,K,SE,4,CL;,0,0,0,0
420,Alvarado ES,K,SE,5,CL;,1,0,1,0
420,Alvarado ES,K,SE,19,CL;,1,0,1,0
420,Alvarado ES,K,SE,1,CT1;,8,2,0,6
420,Alvarado ES,K,SE,2,CT1;,7,0.5,6.5,0
420,Alvarado ES,K,SE,3,CT1;,3.5,0,3.5,0
420,Alvarado ES,K,SE,4,CT1;,3.5,0,3.5,0
420,Alvarado ES,K,SE,5,CT1;,2.5,0,2.5,0
420,Alvarado ES,K,SE,6,CT1;,2,0,2,0
420,Alvarado ES,K,SE,7,CT1;,1.5,0,1.5,0
420,Alvarado ES,K,SE,8,CT1;,2,0,2,0
420,Alvarado ES,K,SE,9,CT1;,2,0,2,0
420,Alvarado ES,K,SE,10,CT1;,2,0,2,0
420,Alvarado ES,K,SE,2,CT1;CL;,1,0,1,0
420,Alvarado ES,K,SE,4,CT1;CL;,1,0,1,0
